id;denommination;prix;description;nmb_de_pers
1;Representative;88340;../fake-data/blob/hipster.txt;66844
2;clicks-and-mortar Granite;71202;../fake-data/blob/hipster.txt;78338
3;Lempira;54187;../fake-data/blob/hipster.txt;73807
4;revolutionize;57961;../fake-data/blob/hipster.txt;79537
5;Liaison toolset backing up;31173;../fake-data/blob/hipster.txt;355
6;Intelligent quantifying silver;14425;../fake-data/blob/hipster.txt;60601
7;azure Berkshire Pizza;25678;../fake-data/blob/hipster.txt;30273
8;Car Configuration invoice;63020;../fake-data/blob/hipster.txt;20973
9;Wooden Tasty Niue;86699;../fake-data/blob/hipster.txt;53964
10;Checking Account;22835;../fake-data/blob/hipster.txt;54068
